Authors: Huang Kaixuan, Hu Jinniu, Zhang Yin, Shen Hong 
Date: 2022/07/05

(Please delete the comments before using this input file)
Hadronic EOS:
    baryon density         pressure
     7.2113E-01           3.0845E+02  
     7.2268E-01           3.0985E+02  
     7.2424E-01           3.1124E+02  
     7.2579E-01           3.1265E+02  
     7.2735E-01           3.1405E+02  
     7.2890E-01           3.1546E+02  
     7.3046E-01           3.1687E+02  
     7.3206E-01           3.1829E+02  
     7.3381E-01           3.1971E+02  
     7.3558E-01           3.2114E+02  
     7.3734E-01           3.2257E+02  
     7.3911E-01           3.2401E+02  
     7.4089E-01           3.2545E+02  
     7.4267E-01           3.2689E+02  
     7.4445E-01           3.2834E+02  
     7.4625E-01           3.2978E+02  
     7.4804E-01           3.3124E+02  
     7.4984E-01           3.3269E+02  
     7.5165E-01           3.3415E+02  
     7.5346E-01           3.3562E+02  
     7.5528E-01           3.3708E+02  
     7.5710E-01           3.3855E+02  
     7.5893E-01           3.4003E+02  
     7.6076E-01           3.4151E+02  
     7.6260E-01           3.4299E+02  
     7.6444E-01           3.4447E+02  
     7.6629E-01           3.4596E+02  
     7.6814E-01           3.4745E+02  
     7.7000E-01           3.4895E+02  
     7.7186E-01           3.5045E+02  
     7.7373E-01           3.5195E+02  
     7.7561E-01           3.5345E+02  
     7.7748E-01           3.5496E+02  
     7.7937E-01           3.5648E+02  
     7.8126E-01           3.5800E+02  
     7.8315E-01           3.5952E+02  
     7.8505E-01           3.6104E+02  
     7.8696E-01           3.6257E+02  
     7.8887E-01           3.6410E+02  
     7.9078E-01           3.6564E+02  
     7.9270E-01           3.6718E+02  
     7.9463E-01           3.6872E+02  
     7.9656E-01           3.7027E+02  
     7.9850E-01           3.7182E+02  
     8.0044E-01           3.7337E+02  
  
